ID,habitacao,tempo_res_atual,patrimonio,telefone,proposito,reserva,n_corresponsaveis,classe
804,própria,4,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,desconhecido/semcontapoupança,1,Bom
805,alugada,2,imobiliária,Nenhum,carro (novo),desconhecido/semcontapoupança,1,Bom
806,própria,1,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (novo),< 100,1,Ruim
807,própria,3,imobiliária,Nenhum,rádio/televisão,< 100,1,Bom
808,própria,4,imobiliária,Nenhum,rádio/televisão,desconhecido/semcontapoupança,1,Bom
809,de graça,2,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",carro (usado),< 100,1,Bom
810,alugada,1,imobiliária,Nenhum,carro (novo),< 100,1,Ruim
811,própria,2,imobiliária,"Sim, registrado em nome do cliente",negócios,< 100,1,Bom
812,própria,3,imobiliária,Nenhum,rádio/televisão,< 100,1,Bom
813,própria,4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (usado),< 100,1,Ruim
814,própria,4,"carro ou outro, não em conta poupança/títulos",Nenhum,eletrodomésticos,< 100,1,Ruim
815,de graça,4,desconhecido/sem propriedade,Nenhum,carro (novo),< 100,2,Ruim
816,alugada,2,contrato de poupança/seguro de vida da sociedade civil,Nenhum,carro (novo),< 100,1,Bom
817,própria,4,imobiliária,Nenhum,eletrodomésticos,500 - 1000,1,Bom
818,alugada,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",rádio/televisão,< 100,1,Bom
819,própria,3,"carro ou outro, não em conta poupança/títulos",Nenhum,carro (usado)0,< 100,1,Bom
820,própria,3,imobiliária,Nenhum,rádio/televisão,< 100,1,Ruim
821,própria,2,imobiliária,"Sim, registrado em nome do cliente",carro (novo),< 100,1,Bom
822,própria,1,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,< 100,1,Bom
823,própria,2,contrato de poupança/seguro de vida da sociedade civil,Nenhum,móveis/equipamentos,< 100,2,Ruim
824,própria,4,imobiliária,Nenhum,carro (novo),< 100,1,Bom
825,própria,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",móveis/equipamentos,< 100,1,Bom
826,própria,3,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (novo),< 100,1,Bom
827,alugada,4,imobiliária,"Sim, registrado em nome do cliente",carro (novo),< 100,1,Ruim
828,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,negócios,< 100,2,Ruim
829,de graça,4,desconhecido/sem propriedade,Nenhum,carro (usado),desconhecido/semcontapoupança,1,Ruim
830,de graça,4,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",negócios,desconhecido/semcontapoupança,2,Bom
831,própria,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",negócios,500 - 1000,2,Bom
832,alugada,3,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (novo),< 100,1,Ruim
833,alugada,4,"carro ou outro, não em conta poupança/títulos",Nenhum,negócios,< 100,1,Ruim
834,própria,4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",rádio/televisão,desconhecido/semcontapoupança,1,Bom
835,própria,3,imobiliária,Nenhum,rádio/televisão,< 100,1,Ruim
836,própria,4,"carro ou outro, não em conta poupança/títulos",Nenhum,carro (novo),< 100,1,Ruim
837,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,desconhecido/semcontapoupança,1,Bom
838,alugada,3,imobiliária,Nenhum,móveis/equipamentos,< 100,2,Bom
839,própria,4,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",carro (usado),< 100,1,Bom
840,própria,3,imobiliária,Nenhum,rádio/televisão,< 100,1,Bom
841,própria,2,contrato de poupança/seguro de vida da sociedade civil,Nenhum,móveis/equipamentos,< 100,1,Ruim
842,própria,2,imobiliária,Nenhum,carro (usado),< 100,1,Bom
843,própria,4,imobiliária,Nenhum,reparos,< 100,1,Ruim
844,própria,4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",negócios,< 100,1,Bom
845,própria,4,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",móveis/equipamentos,< 100,2,Bom
846,própria,3,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",móveis/equipamentos,desconhecido/semcontapoupança,1,Bom
847,alugada,4,"carro ou outro, não em conta poupança/títulos",Nenhum,carro (novo),desconhecido/semcontapoupança,1,Ruim
848,própria,2,imobiliária,Nenhum,carro (novo),< 100,1,Bom
849,própria,4,imobiliária,Nenhum,rádio/televisão,< 100,1,Bom
850,própria,4,imobiliária,Nenhum,rádio/televisão,< 100,1,Ruim
851,alugada,2,contrato de poupança/seguro de vida da sociedade civil,Nenhum,carro (novo),< 100,1,Ruim
852,própria,4,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",carro (usado),desconhecido/semcontapoupança,1,Bom
853,de graça,4,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",rádio/televisão,< 100,1,Bom
854,de graça,4,desconhecido/sem propriedade,Nenhum,carro (novo),< 100,2,Ruim
855,própria,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (novo),< 100,2,Bom
856,própria,3,imobiliária,"Sim, registrado em nome do cliente",carro (novo),100 - 500,1,Bom
857,própria,3,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",reciclagem,desconhecido/semcontapoupança,1,Bom
858,de graça,2,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",móveis/equipamentos,< 100,1,Bom
859,própria,2,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",carro (novo),< 100,1,Ruim
860,alugada,2,imobiliária,Nenhum,carro (novo),100 - 500,2,Bom
861,própria,2,imobiliária,Nenhum,carro (usado),> 1000,1,Bom
862,própria,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",negócios,< 100,1,Ruim
863,própria,4,imobiliária,"Sim, registrado em nome do cliente",rádio/televisão,< 100,1,Ruim
864,própria,2,imobiliária,"Sim, registrado em nome do cliente",móveis/equipamentos,> 1000,2,Bom
865,alugada,2,imobiliária,Nenhum,móveis/equipamentos,< 100,1,Ruim
866,alugada,4,"carro ou outro, não em conta poupança/títulos",Nenhum,móveis/equipamentos,500 - 1000,1,Bom
867,própria,1,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,< 100,1,Bom
868,própria,4,contrato de poupança/seguro de vida da sociedade civil,Nenhum,móveis/equipamentos,< 100,1,Bom
869,própria,2,contrato de poupança/seguro de vida da sociedade civil,Nenhum,negócios,desconhecido/semcontapoupança,1,Bom
870,alugada,4,contrato de poupança/seguro de vida da sociedade civil,Nenhum,móveis/equipamentos,< 100,1,Bom
871,própria,4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",móveis/equipamentos,500 - 1000,1,Bom
872,própria,4,imobiliária,Nenhum,carro (novo),< 100,2,Bom
873,própria,1,imobiliária,"Sim, registrado em nome do cliente",negócios,100 - 500,1,Bom
874,própria,1,imobiliária,Nenhum,eletrodomésticos,desconhecido/semcontapoupança,1,Bom
875,própria,2,contrato de poupança/seguro de vida da sociedade civil,Nenhum,móveis/equipamentos,< 100,2,Bom
876,própria,4,"carro ou outro, não em conta poupança/títulos",Nenhum,carro (novo),> 1000,1,Bom
877,de graça,4,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",rádio/televisão,< 100,1,Bom
878,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,< 100,1,Bom
879,de graça,2,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",carro (novo),< 100,1,Ruim
880,própria,3,contrato de poupança/seguro de vida da sociedade civil,Nenhum,rádio/televisão,desconhecido/semcontapoupança,1,Bom
881,própria,3,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (usado),< 100,1,Bom
882,de graça,4,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",carro (usado),desconhecido/semcontapoupança,1,Bom
883,própria,4,imobiliária,Nenhum,carro (novo),desconhecido/semcontapoupança,1,Bom
884,própria,4,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,< 100,1,Bom
885,própria,3,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",móveis/equipamentos,< 100,1,Ruim
886,própria,4,contrato de poupança/seguro de vida da sociedade civil,Nenhum,educação,< 100,1,Ruim
887,própria,3,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",negócios,desconhecido/semcontapoupança,2,Bom
888,própria,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",negócios,< 100,1,Ruim
889,própria,4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (novo),< 100,1,Bom
890,alugada,4,imobiliária,"Sim, registrado em nome do cliente",carro (usado),desconhecido/semcontapoupança,2,Bom
891,própria,4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",negócios,< 100,2,Bom
892,própria,4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",rádio/televisão,< 100,1,Bom
893,própria,4,contrato de poupança/seguro de vida da sociedade civil,Nenhum,carro (novo),< 100,1,Bom
894,própria,4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (usado),< 100,1,Bom
895,própria,3,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",rádio/televisão,desconhecido/semcontapoupança,1,Bom
896,própria,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (usado),desconhecido/semcontapoupança,2,Bom
897,alugada,4,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",rádio/televisão,< 100,1,Bom
898,própria,2,contrato de poupança/seguro de vida da sociedade civil,Nenhum,móveis/equipamentos,> 1000,1,Bom
899,alugada,4,imobiliária,Nenhum,móveis/equipamentos,desconhecido/semcontapoupança,1,Bom
900,própria,3,"carro ou outro, não em conta poupança/títulos",Nenhum,móveis/equipamentos,< 100,1,Ruim
901,alugada,4,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",carro (novo),< 100,1,Ruim
902,própria,4,imobiliária,"Sim, registrado em nome do cliente",carro (novo),desconhecido/semcontapoupança,1,Bom
903,de graça,4,desconhecido/sem propriedade,Nenhum,carro (usado),desconhecido/semcontapoupança,1,Bom
904,alugada,2,imobiliária,"Sim, registrado em nome do cliente",rádio/televisão,desconhecido/semcontapoupança,1,Bom
905,própria,1,imobiliária,"Sim, registrado em nome do cliente",rádio/televisão,< 100,1,Bom
906,alugada,2,imobiliária,"Sim, registrado em nome do cliente",rádio/televisão,< 100,2,Bom
907,própria,2,imobiliária,Nenhum,carro (novo),desconhecido/semcontapoupança,1,Bom
908,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,educação,desconhecido/semcontapoupança,1,Bom
909,própria,2,contrato de poupança/seguro de vida da sociedade civil,Nenhum,carro (usado),< 100,1,Bom
910,própria,2,imobiliária,Nenhum,carro (novo),desconhecido/semcontapoupança,1,Bom
911,própria,4,imobiliária,Nenhum,rádio/televisão,< 100,1,Bom
912,própria,4,"carro ou outro, não em conta poupança/títulos",Nenhum,móveis/equipamentos,< 100,1,Ruim
913,própria,4,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,desconhecido/semcontapoupança,1,Bom
914,própria,2,imobiliária,"Sim, registrado em nome do cliente",negócios,> 1000,1,Bom
915,alugada,2,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",negócios,< 100,1,Ruim
916,própria,2,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",carro (usado)0,< 100,1,Ruim
917,própria,2,imobiliária,Nenhum,carro (usado),100 - 500,2,Bom
918,própria,4,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",carro (novo),< 100,1,Ruim
919,própria,1,contrato de poupança/seguro de vida da sociedade civil,Nenhum,móveis/equipamentos,100 - 500,1,Ruim
920,alugada,2,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",móveis/equipamentos,< 100,1,Ruim
921,própria,2,desconhecido/sem propriedade,Nenhum,móveis/equipamentos,< 100,1,Bom
922,própria,1,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",rádio/televisão,500 - 1000,1,Bom
923,alugada,4,contrato de poupança/seguro de vida da sociedade civil,Nenhum,rádio/televisão,< 100,1,Ruim
924,alugada,4,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",carro (novo),< 100,2,Bom
925,própria,1,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",móveis/equipamentos,< 100,1,Ruim
926,própria,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (novo),< 100,1,Ruim
927,alugada,4,contrato de poupança/seguro de vida da sociedade civil,Nenhum,móveis/equipamentos,< 100,1,Bom
928,de graça,4,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",carro (usado),< 100,2,Ruim
929,própria,4,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",rádio/televisão,desconhecido/semcontapoupança,1,Bom
930,própria,2,imobiliária,Nenhum,carro (novo),< 100,2,Bom
931,própria,1,contrato de poupança/seguro de vida da sociedade civil,Nenhum,móveis/equipamentos,< 100,1,Bom
932,própria,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",rádio/televisão,< 100,1,Ruim
933,própria,1,imobiliária,Nenhum,carro (novo),< 100,1,Bom
934,própria,4,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",rádio/televisão,500 - 1000,2,Bom
935,própria,1,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,< 100,1,Bom
936,própria,3,desconhecido/sem propriedade,Nenhum,rádio/televisão,100 - 500,1,Ruim
937,própria,2,imobiliária,Nenhum,rádio/televisão,< 100,1,Ruim
938,alugada,3,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",rádio/televisão,< 100,1,Bom
939,de graça,4,desconhecido/sem propriedade,Nenhum,educação,< 100,1,Ruim
940,própria,4,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",carro (usado),desconhecido/semcontapoupança,2,Bom
941,própria,3,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",carro (novo),desconhecido/semcontapoupança,2,Bom
942,própria,2,imobiliária,Nenhum,carro (novo),< 100,2,Bom
943,própria,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",móveis/equipamentos,desconhecido/semcontapoupança,1,Bom
944,própria,1,imobiliária,Nenhum,carro (novo),< 100,2,Bom
945,alugada,1,contrato de poupança/seguro de vida da sociedade civil,Nenhum,móveis/equipamentos,< 100,1,Bom
946,própria,1,"carro ou outro, não em conta poupança/títulos",Nenhum,carro (novo),500 - 1000,1,Bom
947,de graça,4,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",móveis/equipamentos,500 - 1000,2,Ruim
948,própria,4,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",carro (novo),desconhecido/semcontapoupança,1,Bom
949,própria,1,contrato de poupança/seguro de vida da sociedade civil,Nenhum,móveis/equipamentos,< 100,2,Ruim
950,própria,4,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,100 - 500,1,Ruim
951,própria,3,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",negócios,< 100,2,Bom
952,própria,1,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",negócios,< 100,1,Ruim
953,alugada,4,"carro ou outro, não em conta poupança/títulos",Nenhum,carro (usado),500 - 1000,1,Ruim
954,própria,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",móveis/equipamentos,< 100,1,Ruim
955,própria,4,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",carro (novo),< 100,1,Bom
956,alugada,4,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",rádio/televisão,> 1000,1,Bom
957,própria,4,contrato de poupança/seguro de vida da sociedade civil,Nenhum,rádio/televisão,desconhecido/semcontapoupança,1,Bom
958,própria,4,imobiliária,Nenhum,rádio/televisão,< 100,1,Bom
959,própria,2,"carro ou outro, não em conta poupança/títulos",Nenhum,carro (novo),< 100,1,Ruim
960,de graça,4,desconhecido/sem propriedade,Nenhum,móveis/equipamentos,100 - 500,1,Bom
961,alugada,2,imobiliária,Nenhum,rádio/televisão,< 100,1,Bom
962,própria,4,contrato de poupança/seguro de vida da sociedade civil,Nenhum,carro (novo),< 100,1,Bom
963,própria,2,desconhecido/sem propriedade,Nenhum,carro (novo),desconhecido/semcontapoupança,1,Bom
964,própria,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",rádio/televisão,500 - 1000,1,Ruim
965,própria,1,contrato de poupança/seguro de vida da sociedade civil,Nenhum,reparos,< 100,1,Bom
966,própria,1,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,desconhecido/semcontapoupança,1,Bom
967,própria,2,contrato de poupança/seguro de vida da sociedade civil,Nenhum,rádio/televisão,500 - 1000,1,Ruim
968,alugada,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",rádio/televisão,< 100,1,Bom
969,alugada,4,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",rádio/televisão,desconhecido/semcontapoupança,1,Bom
970,própria,2,imobiliária,Nenhum,carro (novo),< 100,2,Bom
971,própria,2,imobiliária,Nenhum,reparos,100 - 500,1,Bom
972,própria,4,contrato de poupança/seguro de vida da sociedade civil,Nenhum,carro (novo),< 100,2,Bom
973,alugada,4,desconhecido/sem propriedade,Nenhum,carro (novo),< 100,1,Ruim
974,alugada,4,desconhecido/sem propriedade,Nenhum,negócios,< 100,1,Ruim
975,própria,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",rádio/televisão,< 100,1,Bom
976,própria,3,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,500 - 1000,1,Bom
977,própria,3,imobiliária,Nenhum,rádio/televisão,< 100,1,Bom
978,própria,2,contrato de poupança/seguro de vida da sociedade civil,Nenhum,negócios,desconhecido/semcontapoupança,1,Bom
979,própria,4,"carro ou outro, não em conta poupança/títulos",Nenhum,carro (novo),< 100,2,Ruim
980,alugada,2,contrato de poupança/seguro de vida da sociedade civil,Nenhum,carro (novo),100 - 500,1,Ruim
981,própria,2,contrato de poupança/seguro de vida da sociedade civil,Nenhum,móveis/equipamentos,< 100,1,Ruim
982,alugada,2,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",negócios,< 100,1,Ruim
983,própria,1,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (novo),100 - 500,1,Bom
984,própria,2,contrato de poupança/seguro de vida da sociedade civil,Nenhum,carro (usado),< 100,2,Ruim
985,própria,2,contrato de poupança/seguro de vida da sociedade civil,Nenhum,móveis/equipamentos,< 100,1,Bom
986,alugada,3,contrato de poupança/seguro de vida da sociedade civil,Nenhum,móveis/equipamentos,< 100,1,Bom
987,própria,1,contrato de poupança/seguro de vida da sociedade civil,Nenhum,negócios,< 100,1,Bom
988,própria,4,imobiliária,Nenhum,rádio/televisão,100 - 500,1,Bom
989,de graça,2,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",carro (usado),< 100,1,Bom
990,própria,2,contrato de poupança/seguro de vida da sociedade civil,Nenhum,rádio/televisão,< 100,1,Bom
991,própria,1,contrato de poupança/seguro de vida da sociedade civil,Nenhum,educação,desconhecido/semcontapoupança,2,Bom
992,própria,4,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,100 - 500,2,Bom
993,alugada,4,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,desconhecido/semcontapoupança,1,Bom
994,própria,3,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",móveis/equipamentos,< 100,1,Bom
995,própria,3,"carro ou outro, não em conta poupança/títulos","Sim, registrado em nome do cliente",carro (novo),desconhecido/semcontapoupança,1,Bom
996,própria,4,imobiliária,Nenhum,móveis/equipamentos,< 100,1,Bom
997,própria,4,contrato de poupança/seguro de vida da sociedade civil,"Sim, registrado em nome do cliente",carro (usado),< 100,1,Bom
998,própria,4,"carro ou outro, não em conta poupança/títulos",Nenhum,rádio/televisão,< 100,1,Bom
999,de graça,4,desconhecido/sem propriedade,"Sim, registrado em nome do cliente",rádio/televisão,< 100,1,Ruim
1000,própria,4,"carro ou outro, não em conta poupança/títulos",Nenhum,carro (usado),100 - 500,1,Bom
